ID,LatitudeGeocoded,LongitudeGeocoded
1,40.3607912,-74.6648384
2,40.3607912,-74.6648384
3,40.3483391,-74.67684750000001
4,40.3483391,-74.67684750000001
5,40.3508647,-74.65885089999999
6,40.3508647,-74.65885089999999
7,40.34658230000001,-74.6646543
8,40.34658230000001,-74.6646543
9,40.34658230000001,-74.6646543
10,40.34635189999999,-74.6675679
11,40.34635189999999,-74.6675679
14,40.35087250000001,-74.6602671
15,40.35087250000001,-74.6602671
16,40.3512718,-74.6543599
17,40.3512718,-74.6543599
18,40.3512226,-74.6592904
19,40.3512226,-74.6592904
20,40.3251947,-74.6415892
21,40.3251947,-74.6415892
23,40.349283,-74.6611365
24,40.34965649999999,-74.6597434
25,40.34965649999999,-74.6597434
26,40.3510086,-74.6432506
27,40.3510086,-74.6432506
32,40.3561998,-74.6504472
33,40.3561998,-74.6504472
34,40.3439888,-74.6514481
35,40.3439888,-74.6514481
37,40.3251947,-74.6415892
38,40.3251947,-74.6415892
39,40.3416292,-74.6684357
40,40.3416292,-74.6684357
41,40.34781720000001,-74.6632978
42,40.34781720000001,-74.6632978
43,40.3470085,-74.6618443
44,40.3470085,-74.6618443
45,40.34965649999999,-74.6597434
46,40.34965649999999,-74.6597434
47,40.3448607,-74.64570839999999
48,40.3448607,-74.64570839999999
49,40.3439888,-74.6514481
50,40.3439888,-74.6514481
51,40.3462676,-74.6538532
52,40.3462676,-74.6538532
53,40.3462676,-74.6538532
54,40.34965649999999,-74.6597434
59,40.349283,-74.6611365
60,40.349283,-74.6611365
63,40.345801,-74.668617
64,40.345801,-74.668617
65,40.3542947,-74.65308759999999
66,40.3542947,-74.65308759999999
67,40.3542947,-74.65308759999999
68,40.34195,-74.6732339
69,40.34195,-74.6732339
70,40.3523181,-74.6509184
71,40.3523181,-74.6509184
72,40.34965649999999,-74.6597434
73,40.350218,-74.662691
74,40.350218,-74.662691
75,40.355459,-74.66454999999999
76,40.355459,-74.66454999999999
77,40.3478103,-74.65503079999999
78,40.3478103,-74.65503079999999
79,40.3503814,-74.6570811
80,40.3503814,-74.6570811
81,40.351172,-74.66040319999999
82,40.351172,-74.66040319999999
83,40.3512718,-74.6543599
84,40.3512718,-74.6543599
85,40.3512718,-74.6543599
86,40.3515223,-74.6654389
87,40.3515223,-74.6654389
88,40.3512226,-74.6592904
89,40.3512226,-74.6592904
90,40.349283,-74.6611365
91,40.349283,-74.6611365
92,40.35572670000001,-74.6412132
93,40.35572670000001,-74.6412132
94,40.3519802,-74.6607489
95,40.3519802,-74.6607489
96,40.3503814,-74.6570811
97,40.3537883,-74.6557514
98,40.3537883,-74.6557514
99,40.3537883,-74.6557514
100,40.3565395,-74.6394514
101,40.3565395,-74.6394514
102,40.3497045,-74.6654539
103,40.3497045,-74.6654539
104,40.352812,-74.6493058
